GG package,Pullman Box,Genus ,Species,Accn Number,% normal germ,% total germ (incl. abnormal+clip),% dormant,% viable,% empty,% dead,100 Seed Weight (g),100 Seed Inert Weight (g),Total Sample Weight (g),NLGRP Weight (g),Pullman Weight (g),Collector Weight (g),GRIN Weight (g),Total Estimated Seeds (#),NLGRP Estimated Seed (#),Pullman Estimated Seed (#),Collector Estimated Seed (#),GRIN Estimated Seed (#),Notes
2,1,Eurybia,divaricata,NEWFS-849,0.04,0.04,0.02,0.06,0.89,0.05,0.036,0.1293,49.16,5.53,5.57,33.26,5.51,29740,3345,3370,20120.99214,3333.333333,
NA,NA,Eurybia,divaricata,NEWFS-864,,,,,,,N/A,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Sample on packing list but not included in shipment
2,1,Eurybia,divaricata,NEWFS-917,0.09,0.09,0.07,0.16,0.76,0.08,0.0303,0.1371,13.26,4.66,4.65,0,4.66,7921,2784,2778,0,2783.751493,
2,1,Eurybia,divaricata,NEWFS-925,0.23,0.23,0.02,0.25,0.70,0.06,0.0306,0.1232,40.38,5.76,5.79,24.04,5.74,26255,3745,3765,15630.68921,3732.119636,
2,1,Euthamia,caroliniana,MARSB-405,0.30,0.30,0.13,0.43,0.50,0.07,0.0065,0.0471,161.49,4.88,4.84,150.63,4.89,301287,9104,9030,281026.1194,9123.134328,
2,1,Euthamia,caroliniana,NEWFS-855,0.27,0.27,0.01,0.28,0.68,0.04,0.0091,0.0683,25.92,2.6,2.59,18.56,2.61,33488,3359,3346,23979.32817,3372.093023,
2,1,Euthamia,graminifolia,NEWFS-854,0.54,0.54,0.15,0.69,0.22,0.09,0.0091,0.0631,19.57,2.43,2.42,13.68,2.45,27105,3366,3352,18947.36842,3393.351801,
2,1,Euthamia,graminifolia,NEWFS-861,0.77,0.90,0.00,0.90,0.08,0.02,0.0048,0.0567,46.25,2.69,2.71,38.95,2.71,75203,4374,4407,63333.33333,4406.504065,
2,1,Euthamia,graminifolia,NEWFS-875,0.63,0.63,0.01,0.63,0.21,0.15,0.0071,0.0474,34.72,1.8,1.81,30.14,1.82,63706,3303,3321,55302.75229,3339.449541,
2,1,Euthamia,graminifolia,NEWFS-892,0.56,0.56,0.15,0.71,0.23,0.06,0.0089,0.0562,32.25,2.25,2.27,26.38,2.28,49539,3456,3487,40522.27343,3502.304147,
1,1,Euthamia,graminifolia,NEWFS-897,0.75,0.75,0.07,0.82,0.13,0.05,0.0047,0.0611,85.05,8.23,8.22,61.15,8.21,129255,12508,12492,92933.1307,12477.20365,
2,1,Euthamia,graminifolia,NEWFS-903,0.68,0.68,0.07,0.75,0.02,0.23,0.0092,0.0289,28.14,2.29,2.25,21.25,2.27,73858,6010,5906,55774.27822,5958.005249,
2,1,Euthamia,graminifolia,NEWFS-905,0.57,0.57,0.02,0.59,0.38,0.03,0.0039,0.0431,141.18,5.79,5.74,125.03,5.77,300383,12319,12213,266021.2766,12276.59574,
2,1,Euthamia,graminifolia,NEWFS-914,0.34,0.34,0.00,0.34,0.66,0.00,0.0093,0.0504,22.99,2.07,2.07,17.19,2.06,38509,3467,3467,28793.96985,3450.586265,
2,1,Euthamia,graminifolia,NEWFS-932,0.53,0.53,0.00,0.53,0.47,0.00,0.0031,0.0721,16.18,2.5,2.51,9.89,2.54,21516,3324,3338,13151.59574,3377.659574,
NA,1,Eutrochium,dubium,NEWFS-756,0.45,0.45,0.15,0.60,0.35,0.05,0.0379,0.2982,20.04,10.3,10.25,0,0,5963,3065,3050,0,0,
1,1,Eutrochium,dubium,NEWFS-901,0.38,0.38,0.14,0.51,0.43,0.06,0.0316,0.2573,56.09,9.63,9.65,27.63,9.64,19415,3333,3340,9563.862928,3336.794739,
1,1,Fimbristylis,annua,NCBG-555,0.00,0.00,0.56,0.56,0.02,0.42,0.0127,0.0912,14.31,3.75,3.82,3,3.86,13773,3609,3677,2887.391723,3715.110683,
NA,2,Fimbristylis,autumnalis,NCBG-527,0.03,0.04,0.02,0.06,0.01,0.93,0.0339,0.1059,6.8,3.15,3.18,0,0,4864,2253,2275,0,0,
1,2,Fimbristylis,castanea,NCBG-520,0.02,0.02,0.55,0.57,0.04,0.39,0.0151,0.1111,107.55,4.2,4.2,94.66,4.21,85222,3328,3328,75007.92393,3335.974643,
